2026-07-03 09:30:58 | ERROR    | trading_bot.cli | Input validation failed: LIMIT orders require --price.
2026-07-03 09:31:06 | DEBUG    | trading_bot.client | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com/fapi)
2026-07-03 09:31:06 | INFO     | trading_bot.orders | Placing MARKET BUY order | symbol=BTCUSDT qty=0.01 price=None stop_price=None
2026-07-03 09:31:06 | INFO     | trading_bot.client | REQUEST futures_create_order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01}
2026-07-03 09:31:06 | INFO     | trading_bot.client | RESPONSE futures_create_order: {'orderId': 3702819, 'symbol': 'BTCUSDT', 'status': 'FILLED', 'side': 'BUY', 'type': 'MARKET', 'executedQty': '0.010', 'avgPrice': '60123.40', 'origQty': '0.010'}
2026-07-03 09:31:06 | INFO     | trading_bot.orders | Order placed successfully: orderId=3702819 status=FILLED
2026-07-03 09:31:06 | DEBUG    | trading_bot.client | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com/fapi)
2026-07-03 09:31:06 | INFO     | trading_bot.orders | Placing LIMIT SELL order | symbol=BTCUSDT qty=0.01 price=60000.0 stop_price=None
2026-07-03 09:31:06 | INFO     | trading_bot.client | REQUEST futures_create_order: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 60000.0, 'timeInForce': 'GTC'}
2026-07-03 09:31:06 | INFO     | trading_bot.client | RESPONSE futures_create_order: {'orderId': 3702820, 'symbol': 'BTCUSDT', 'status': 'NEW', 'side': 'SELL', 'type': 'LIMIT', 'executedQty': '0.000', 'avgPrice': '0.00', 'origQty': '0.010', 'price': '60000.00'}
2026-07-03 09:31:06 | INFO     | trading_bot.orders | Order placed successfully: orderId=3702820 status=NEW
2026-07-03 09:31:12 | DEBUG    | trading_bot.client | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com/fapi)
2026-07-03 09:31:12 | INFO     | trading_bot.orders | Placing MARKET BUY order | symbol=BTCUSDT qty=0.01 price=None stop_price=None
2026-07-03 09:31:12 | INFO     | trading_bot.client | REQUEST futures_create_order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01}
2026-07-03 09:31:12 | ERROR    | trading_bot.client | Binance API rejected order (code=-2019, msg=Margin is insufficient.) | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01}
2026-07-03 09:31:12 | ERROR    | trading_bot.orders | Order failed: Binance API error -2019: Margin is insufficient.
2026-07-03 15:38:48 | DEBUG    | trading_bot.client | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com/fapi)
2026-07-03 15:38:48 | INFO     | trading_bot.orders | Placing MARKET BUY order | symbol=BTCUSDT qty=0.001 price=None stop_price=None
2026-07-03 15:38:48 | INFO     | trading_bot.client | REQUEST futures_create_order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-07-03 15:38:48 | ERROR    | trading_bot.client | Binance API rejected order (code=-2015, msg=Invalid API-key, IP, or permissions for action) | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-07-03 15:38:48 | ERROR    | trading_bot.orders | Order failed: Binance API error -2015: Invalid API-key, IP, or permissions for action
2026-07-03 15:48:31 | DEBUG    | trading_bot.client | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com/fapi)
2026-07-03 15:48:31 | INFO     | trading_bot.orders | Placing MARKET BUY order | symbol=BTCUSDT qty=0.001 price=None stop_price=None
2026-07-03 15:48:31 | INFO     | trading_bot.client | REQUEST futures_create_order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-07-03 15:48:32 | ERROR    | trading_bot.client | Binance API rejected order (code=-2019, msg=Margin is insufficient.) | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-07-03 15:48:32 | ERROR    | trading_bot.orders | Order failed: Binance API error -2019: Margin is insufficient.
2026-07-03 15:51:02 | DEBUG    | trading_bot.client | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com/fapi)
2026-07-03 15:51:02 | INFO     | trading_bot.orders | Placing MARKET BUY order | symbol=BTCUSDT qty=0.0001 price=None stop_price=None
2026-07-03 15:51:02 | INFO     | trading_bot.client | REQUEST futures_create_order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.0001}
2026-07-03 15:51:02 | ERROR    | trading_bot.client | Binance API rejected order (code=-4164, msg=Order's notional must be no smaller than 50 (unless you choose reduce only).) | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.0001}
2026-07-03 15:51:02 | ERROR    | trading_bot.orders | Order failed: Binance API error -4164: Order's notional must be no smaller than 50 (unless you choose reduce only).
2026-07-03 15:51:43 | DEBUG    | trading_bot.client | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com/fapi)
2026-07-03 15:51:43 | INFO     | trading_bot.orders | Placing MARKET BUY order | symbol=BTCUSDT qty=0.0001 price=None stop_price=None
2026-07-03 15:51:43 | INFO     | trading_bot.client | REQUEST futures_create_order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.0001}
2026-07-03 15:51:43 | ERROR    | trading_bot.client | Binance API rejected order (code=-4164, msg=Order's notional must be no smaller than 50 (unless you choose reduce only).) | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.0001}
2026-07-03 15:51:43 | ERROR    | trading_bot.orders | Order failed: Binance API error -4164: Order's notional must be no smaller than 50 (unless you choose reduce only).
2026-07-03 15:51:54 | DEBUG    | trading_bot.client | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com/fapi)
2026-07-03 15:51:54 | INFO     | trading_bot.orders | Placing MARKET BUY order | symbol=BTCUSDT qty=0.001 price=None stop_price=None
2026-07-03 15:51:54 | INFO     | trading_bot.client | REQUEST futures_create_order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-07-03 15:51:55 | INFO     | trading_bot.client | RESPONSE futures_create_order: {'orderId': 18694992155, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJbf8b9cebb2a1026de5ef54', 'price': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1783074116028}
2026-07-03 15:51:55 | INFO     | trading_bot.orders | Order placed successfully: orderId=18694992155 status=NEW
2026-07-03 15:54:30 | DEBUG    | trading_bot.client | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com/fapi)
2026-07-03 15:54:30 | INFO     | trading_bot.orders | Placing MARKET BUY order | symbol=BTCUSDT qty=0.001 price=None stop_price=None
2026-07-03 15:54:30 | INFO     | trading_bot.client | REQUEST futures_create_order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-07-03 15:54:31 | INFO     | trading_bot.client | RESPONSE futures_create_order: {'orderId': 18695405971, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJcdf486ec7854520bd68a6f', 'price': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1783074272205}
2026-07-03 15:54:31 | INFO     | trading_bot.orders | Order placed successfully: orderId=18695405971 status=NEW
2026-07-03 15:54:35 | DEBUG    | trading_bot.client | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com/fapi)
2026-07-03 15:54:35 | INFO     | trading_bot.orders | Placing LIMIT SELL order | symbol=BTCUSDT qty=0.001 price=60000.0 stop_price=None
